stellarType,starColor
WC1II,146 168 255
WC1III,146 168 255
WC1IV,145 167 255
WC1V,146 168 255
WC1VI,146 168 255
WC2Ia0,148 170 255
WC2Ia,148 170 255
WC2Ib,148 170 255
WC2II,148 170 255
WC2III,148 169 255
WC2IV,146 169 255
WC2V,148 170 255
WC2VI,148 170 255
WC3Ia0,151 172 255
WC3Ia,151 172 255
WC3Ib,151 172 255
WC3II,149 173 255
WC3III,150 171 255
WC3IV,148 170 255
WC3V,151 172 255
WC3VI,151 172 255
WC4Ia0,153 174 255
WC4Ia,153 174 255
WC4Ib,153 174 255
WC4II,151 175 255
WC4III,152 172 255
WC4IV,149 171 255
WC4V,153 174 255
WC4VI,153 174 255
WC5Ia0,155 176 255
WC5Ia,155 176 255
WC5Ib,155 176 255
WC5II,153 177 255
WC5III,154 174 255
WC5IV,150 172 255
WC5V,155 176 255
WC5VI,155 176 255
WC6Ia0,157 178 255
WC6Ia,157 178 255
WC6Ib,157 178 255
WC6II,155 179 255
WC6III,156 175 255
WC6IV,151 174 255
WC6V,162 184 255
WC6VI,162 184 255
WC7Ia0,160 181 255
WC7Ia,160 181 255
WC7Ib,160 181 255
WC7II,156 181 255
WC7III,158 177 255
WC7IV,152 175 255
WC7V,157 177 255
WC7VI,157 177 255
WC8Ia0,162 183 255
WC8Ia,162 183 255
WC8Ib,162 183 255
WC8II,158 183 255
WC8III,157 178 255
WC8IV,153 176 255
WC8V,157 177 255
WC8VI,157 177 255
WN0VI,144 166 255
WC9Ia0,164 185 255
WC9Ia,164 185 255
WC9Ib,164 185 255
WC9II,160 186 255
WC9III,158 177 255
WC9IV,155 177 255
WC9V,154 178 255
WC9VI,154 178 255
WN0Ia0,144 166 255
WN0Ia,144 166 255
WN0Ib,144 166 255
WN0II,144 166 255
WN0III,144 166 255
WN0IV,144 166 255
WN0V,144 166 255
WN1Ia0,146 168 255
WN1Ia,146 168 255
WN1Ib,146 168 255
WN1II,146 168 255
WN1III,146 168 255
WN1IV,145 167 255
WN1V,146 168 255
WN1VI,146 168 255
WN2Ia0,148 170 255
WN2Ia,148 170 255
WN2Ib,148 170 255
WN2II,148 170 255
WN2III,148 169 255
WN2IV,146 169 255
WN2V,148 170 255
WN2VI,148 170 255
