id,hip,proper,ra,dec,dist,mag,spect,x,y,z,ci
49222,49363,,10.076759,53.891716,50.7357,5.71,F5V,-26.188567,14.426261,40.989494,1.465
51784,51933,,10.608994,-12.230121,25.0752,5.71,F7V,-22.898993,8.728283,-5.311883,0.863
54364,54522,,11.155302,36.309379,117.096,5.71,M3.5III,-92.061901,20.697244,69.337938,1.185
56451,56620,,11.609706,-33.570057,111.6071,5.71,K0III,-92.507482,9.485309,-61.714045,0.936
59740,59923,,12.291827,28.937189,54.9451,5.71,A4m,-47.944919,-3.670135,26.585184,0.571
60423,60610,,12.422706,-35.186417,134.5895,5.71,B9IV/V,-109.32458,-12.147891,-77.555605,0.695
62346,62541,,12.815059,14.122584,122.399,5.71,A1V,-116.007463,-25.136576,29.865006,0.421
62535,62732,,12.854994,-60.329789,100000,5.71,A2Iab,-48265.80452,-10987.78032,-86888.89895,1.067
67573,67787,,13.886925,17.932868,211.4165,5.71,G5III,-177.097484,-95.37263,65.095632,1.359
73308,73536,,15.030255,-0.140295,704.2254,5.71,M2III,-494.001012,-501.889442,-1.724372,0.072
75436,75665,,15.459193,-64.531504,209.205,5.71,K5/M0III,-55.524303,-70.781845,-188.874775,0.939
77100,77336,,15.788144,14.115348,76.6871,5.71,A3V,-40.698953,-62.247056,18.701977,1.541
88687,88964,,18.159415,3.993276,54.7945,5.71,F2V,2.280611,-54.613722,3.815845,0.327
89817,90096,,18.386712,-12.014755,188.6792,5.71,B5V,18.651696,-183.600937,-39.276118,1.079
90218,90497,,18.466326,6.194104,216.9197,5.71,B8III-IV,26.262417,-214.048129,23.404984,1.737
90559,90842,,18.532284,-43.507383,337.8378,5.71,K2III,34.03479,-242.653714,-232.583813,1.278
92007,92294,,18.810538,-65.077679,67.7048,5.71,A9V,6.008636,-27.890156,-61.400116,0.465
95261,95557,,19.4364,-15.053251,214.1328,5.71,B7IV,75.941331,-192.335238,-55.613843,1.074
95956,96258,,19.572161,51.23662,25.113,5.71,F7V,6.290433,-14.410257,19.58157,0.993
97774,98085,,19.933684,16.634799,100000,5.71,G5Ibv SB,46459.68153,-83797.31967,28627.03602,0.282
99898,100221,,20.326863,62.257472,115.8749,5.71,B9V,30.863621,-44.237037,102.554739,0.257
105420,105761,,21.420285,-9.748552,91.8274,5.71,F0IV,70.63416,-56.579972,-15.548606,0.933
107759,108102,,21.902881,-4.27618,89.6861,5.71,K2III,76.292041,-46.672702,-6.687343,0.276
1977,1982,,0.418445,53.046786,158.2278,5.72,B9IV,94.5505,10.399574,126.444126,0.42
2347,2353,,0.500655,-3.957332,173.913,5.72,M0III,172.0102,22.675579,-12.00236,0.243
3271,3277,,0.69621,-56.501315,67.0241,5.72,Ap,36.379065,6.705245,-55.891371,1.431
10304,10328,,2.217584,15.27986,146.8429,5.72,M0III,118.443118,77.695424,38.698147,0.496
12041,12072,,2.594095,37.312263,191.2046,5.72,K4III,118.330996,95.520037,115.900287,1.787
12497,12530,,2.687222,-0.695653,22.5887,5.72,F7IV,17.224348,14.611613,-0.274253,0.98
15373,15411,,3.311429,-18.559794,36.9686,5.72,F3V,22.680766,26.717246,-11.76694,0.619
16129,16168,,3.472416,33.807557,117.2333,5.72,A2V,59.856271,76.850706,65.22925,1.246
17492,17534,,3.75441,-47.359476,103.5197,5.72,K1III,38.891383,58.350797,-76.150952,0.403
19933,19983,,4.28558,57.860355,79.8085,5.72,K1III,18.422592,38.251543,67.577881,0.269
20350,20400,,4.367643,14.077198,44.3853,5.72,A3m,17.843646,39.180871,10.795882,1.049
20790,20842,,4.466883,21.619907,47.1254,5.72,Am,17.115773,40.328622,17.363358,1.73
22033,22086,,4.751156,-21.283383,218.3406,5.72,K4III,65.338301,192.671957,-79.253561,0.506
27248,27316,,5.786987,14.488322,104.1667,5.72,A3Vn,5.621401,100.697456,26.06075,1.331
28838,28909,,6.102603,-66.039621,98.6193,5.72,A0V,-1.075697,40.03539,-90.121078,0.458
29221,29294,,6.1763,-27.154343,101.1122,5.72,K1III,-4.151006,89.871843,-46.146504,0.385
31557,31637,,6.62051,-36.990651,350.8772,5.72,B6IV,-45.327597,276.567764,-211.117556,0.402
32653,32740,,6.828143,32.606756,127.551,5.72,K3II,-23.113286,104.931999,68.733345,1.635
34935,35029,,7.246117,-46.849672,142.4501,5.72,A0p,-31.222088,92.285506,-103.926415,1.085
42027,42146,,8.591166,-7.982292,92.8505,5.72,A1spe...,-57.701277,71.593053,-12.893903,1.267
43521,43644,,8.889601,61.962268,88.8099,5.72,F2III,-28.652957,30.359047,78.386768,0.586
43798,43923,,8.947218,45.631646,70.7214,5.72,K1IV,-34.482375,35.448931,50.556208,1.156
45028,45158,,9.19965,-19.747628,93.1966,5.72,G8III,-65.180074,58.69925,-31.489054,0.415
46325,46457,,9.474771,8.188298,124.2236,5.72,K0III,-97.052139,75.494365,17.692796,1.118
47458,47594,,9.704137,69.237537,151.2859,5.72,G9III:,-44.230592,30.328694,141.461035,0.983
48151,48287,,9.844985,-46.933923,176.9912,5.72,K0IIICN...,-102.127335,64.625268,-129.303985,1.33
48427,48561,,9.904905,-45.283516,305.8104,5.72,B+...,-183.605085,112.189355,-217.30806,0.091
59127,59309,,12.167616,5.807008,44.0529,5.72,Am,-43.784566,-1.922579,4.457175,0.109
59564,59746,,12.252366,70.200008,142.8571,5.72,K2III,-48.285483,-3.194744,134.411387,0.649
66208,66417,,13.616412,24.613297,140.647,5.72,M2III,-116.588224,-52.509813,58.578206,0.495
69541,69763,,14.277423,-66.587894,400,5.72,B1.5III,-131.513736,-89.246894,-367.068201,1.003
71786,72012,,14.72901,40.459254,209.6436,5.72,K4III,-120.502951,-104.512369,136.0393,1.131
72939,73166,,14.953244,16.388128,163.1321,5.72,G5III:,-112.011557,-109.302375,46.026485,0.395
72957,73184,,14.957765,-21.415475,5.8404,5.72,K4V,-3.887091,-3.802093,-2.13259,1.476
75031,75260,,15.377341,63.341439,112.8668,5.72,K4III,-32.101761,-39.164959,100.868254,0.427
75123,75352,,15.397844,-12.369501,172.4138,5.72,G8III,-106.058476,-130.820274,-36.933644,1.7
78730,78970,,16.121168,-36.755676,54.7945,5.72,F0/F2V,-20.73371,-38.696669,-32.789385,0.564
79425,79666,,16.257955,18.808087,106.6098,5.72,K3III,-44.445911,-90.602534,34.370873,1.061
85211,85470,,17.466002,-52.297168,109.6491,5.72,K2III,-9.344204,-66.403399,-86.75357,1.425
85626,85888,,17.55202,41.243449,99.5025,5.72,K1III:,-8.754607,-74.303278,65.597832,0.293
88025,88298,,18.031772,-22.780298,100000,5.72,B0Iab...,766.906805,-92196.44549,-38719.85626,0.984
88362,88636,,18.097114,32.230674,212.3142,5.72,K0III,4.565692,-179.540195,113.23337,0.059
95190,95485,,19.422665,-13.89713,154.7988,5.72,K2III,54.682449,-139.964622,-37.179412,1.042
109485,109831,,22.245656,42.95391,82.3723,5.72,A2Vnn,54.040509,-26.726232,56.129063,0.927
111013,111362,,22.561281,56.624737,105.5966,5.72,G8III-IV,54.018664,-21.366376,88.182102,0.027
111621,111974,,22.681299,14.549161,33.7952,5.72,G3V+...,30.781284,-11.070105,8.48969,0.518
112824,113184,,22.919711,-4.987899,83.4028,5.72,K0III-IV,79.786055,-23.186528,-7.251478,0.996
112947,113307,,22.946613,-47.969221,74.6269,5.72,Am...,48.076988,-13.605175,-55.431802,0.293
117746,118114,,23.959159,-82.169804,93.5454,5.72,K0III,12.743713,-0.136353,-92.673439,0.304
4190,4200,,0.893839,-62.871352,218.3406,5.73,M4III,96.847474,23.08627,-194.319761,0.345
12838,12871,,2.757629,-63.704553,55.991,5.73,G8III/IV,18.615892,16.391623,-50.197055,0.067
