StarID,Hip,HD,HR,Gliese,BayerFlamsteed,ProperName,RA,Dec,Distance,Mag,AbsMag,Spectrum,ColorIndex
59521,82758,152534, , ,,,16.9141176,-23.51228392,148.1481481,6.76,0.906518864,G8IIICN...  ,0.944
59992,83389,154345,,Gl 651   ,, ,17.04341609,47.07980407,18.06032147,6.76,5.476372618,G8V         ,0.728
61936,86047,159194, , ,,,17.58507796,-38.79953725,106.9518717,6.76,1.614058054,K3III       ,1.24
61981,86107,159736, , ,,,17.59744069,12.04692216,350.877193,6.76,-0.9657757,K5          ,1.63
63345,87945,163482, , ,,,17.96576325,-36.00791079,129.0322581,6.76,1.206508513,A0III/IV    ,0.12
64035,88905,165814,6773,,          , ,18.14834566,-25.47303602,970.8737864,6.76,-3.175813876,B4IV        ,-0.009
64493,89505,167856, , ,,,18.26481406,30.39983546,111.7318436,6.76,1.519115177,K0          ,1.029
64636,89700,168271, , ,,,18.30681685,12.98043124,374.5318352,6.76,-1.107443693,B9          ,0.002
65627,91035,170407, , ,,,18.57068863,-66.27926013,826.446281,6.76,-2.826073148,A(V) + G5III,0.894
65773,91234,171948, , ,,,18.61028574,22.10760395,130.5483029,6.76,1.181143848,B9          ,0.068
68460,94735,179775, , ,,,19.27684939,-52.4377329,203.6659878,6.76,0.215407461,K0III       ,1.025
68685,95021,181255, , ,,,19.3341105,-6.62797206,337.8378378,6.76,-0.883541445,K0          ,1.683
68933,95354,182567, , ,,,19.39943208,32.72367649,170.0680272,6.76,0.60688663,K0          ,1.227
69534,96154,183925, , ,,,19.55087707,-30.36274081,396.8253968,6.76,-1.232997296,K5III       ,1.6
70826,97831,188772, , ,,,19.87990938,64.17610692,170.3577513,6.76,0.603190506,G5          ,1.096
72930,100556,193933, , ,,,20.39062509,-14.25643318,373.1343284,6.76,-1.09932603,B3II/III    ,-0.1
73358,101125,195274, , ,,,20.49868872,10.30211797,175.4385965,6.76,0.539374278,K0          ,1.06
73532,101349,196420, , ,,,20.54032763,70.5321369,235.2941176,6.76,-0.09805535,A0          ,-0.017
73813,101751,196348, , ,,,20.62254458,-15.14722443,271.00271,6.76,-0.404868169,K1III       ,1.26
73907,101875,196850,,Gl 794.3 ,, ,20.64445555,38.63556258,26.93965517,6.76,4.608039838,G0          ,0.61
74030,102029,197039, , ,,,20.67645933,15.64313657,69.63788301,6.76,2.5457722,F5          ,0.458
74375,102480,197814, , ,,,20.7670017,-0.3403967,200,6.76,0.254850022,G5          ,0.955
75024,103342,200251, , ,,,20.93666042,75.71972126,171.5265866,6.76,0.588342774,K2          ,1.114
75227,103624,200031, , ,,,20.99525105,38.82292141,309.5975232,6.76,-0.693987388,G5III       ,0.793
75334,103779,200407, , ,,,21.02984543,44.18711714,73.31378299,6.76,2.434071852,Am          ,0.315
76752,105623,203699, , ,,,21.39316214,14.05019694,10000000,6.76,-8.24,B2.5IVne    ,-0.109
77633,106790,205952, , ,,,21.63018205,39.31717473,156.0062402,6.76,0.794290148,B9          ,-0.035
78147,107504,206958, , ,,,21.77336547,-32.71463715,199.6007984,6.76,0.259188629,K3III       ,1.341
78725,108327,208482, , ,,,21.94611059,-17.89705676,153.609831,6.76,0.827904943,A0/A1V      ,0.07
79109,108829,209691, , ,,,22.04709257,66.06424122,340.1360544,6.76,-0.898263348,B8          ,0.101
79612,109511,210666, , ,,,22.18437036,43.0307314,267.3796791,6.76,-0.375641989,K0          ,1.109
81466,112169,215371, , ,,,22.71788058,65.33625595,342.4657534,6.76,-0.913085743,B1.5V       ,-0.025
82145,113159,216664, , ,,,22.91520637,-22.36845929,40.53506283,6.76,3.720845747,F7V         ,0.469
82794,114074,218259, , ,,,23.10340728,36.8202892,307.6923077,6.76,-0.680583195,K0          ,1.154
83320,114834,219420, , ,,,23.2611549,1.30837737,44.42470013,6.76,3.521877475,F5          ,0.537
83875,115643,220719, , ,,,23.42669658,52.97949951,574.7126437,6.76,-2.037253759,M0          ,1.594
84184,116085,221354,,Gl 895.4 ,, ,23.52248609,59.16524241,16.86056314,6.76,5.62563962,K2V         ,0.839
84930,117155,222940, , ,,,23.75111037,21.38991624,238.6634845,6.76,-0.128929885,K2          ,1.456
136,181,224980, , ,,,0.03825444,60.7031946,398.4063745,6.77,-1.231631393,M0          ,1.832
1454,2025,2140, , ,,,0.42830241,7.69123126,300.3003003,6.77,-0.617778832,K0          ,1.3
2042,2901,3345, , ,,,0.61293053,54.95739709,287.3563218,6.77,-0.52210378,K2          ,1.419
2137,3030,3489, , ,,,0.64262384,60.32478527,10000000,6.77,-8.23,K3Ib-II     ,1.725
3365,4811,5944, , ,,,1.02938746,57.8167019,558.6592179,6.77,-1.965734845,A2          ,0.28
3535,5045,6314,305,,          , ,1.0767777,39.99116315,84.38818565,6.77,2.138591752,F0Vn        ,0.328
4502,6451,8356, , ,,,1.38154899,11.36661822,92.50693802,6.77,1.93912847,K0          ,1.123
4865,6966,9071, , ,,,1.49476884,22.82623228,141.4427157,6.77,1.017097069,A4V         ,0.097
5296,7585,9986, , ,,,1.62800199,12.07836601,25.73340196,6.77,4.717513981,G5V         ,0.648
5298,7589,9901, , ,,,1.62898966,48.41273309,64.39150032,6.77,2.725857279,F5          ,0.471
6093,8751,11733, , ,,,1.87631634,-67.94448963,229.3577982,6.77,-0.032567554,B9V         ,-0.05
6162,8859,11592, , ,,,1.8993868,10.61472078,41.71881519,6.77,3.66834017,F5V         ,0.468
6377,9158,11905,562,,          , ,1.9656562,41.69457318,395.256917,6.77,-1.214397394,B8III       ,-0.073
8572,12250,16446, , ,,,2.62900504,-22.99200304,199.2031873,6.77,0.273518586,K0III       ,1.036
8913,12725,16855, , ,,,2.72647604,43.53802547,80.7102502,6.77,2.235356532,A2          ,0.263
11433,16308,21779, , ,,,3.50367107,-11.64610765,71.83908046,6.77,2.488196176,G5          ,0.732
11523,16430,21641, , ,,,3.5258658,47.86248143,219.7802198,6.77,0.060056983,B8.5V       ,-0.027
12093,17276,23148, , ,,,3.69974828,-24.65215153,40.63388866,6.77,3.725558069,F6V         ,0.506
12124,17320,22963, , ,,,3.70767219,32.93945824,72.93946025,6.77,2.455187274,F8          ,0.486
12544,17907,23990, , ,,,3.82957749,9.40755457,146.1988304,6.77,0.945280509,B9          ,-0.026
12571,17943,23922, , ,,,3.83700943,34.8202987,86.28127696,6.77,2.09041718,F0          ,0.321
12684,18104,24325, , ,,,3.8690796,-1.14877013,218.3406114,6.77,0.07432739,B9          ,0.005
12685,18106,24213, , ,,,3.86985446,25.16347704,39.46329913,6.77,3.789033053,G0          ,0.583
13050,18634,25049, , ,,,3.9888092,13.97519023,133.1557923,6.77,1.148199685,G5          ,1.178
13401,19127,25616, , ,,,4.10058551,46.9256873,113.6363636,6.77,1.492413361,A2          ,0.153
13472,19226,26068, , ,,,4.1210391,-9.75780386,165.2892562,6.77,0.678776873,K0          ,1.177
13845,19758,27019, , ,,,4.23598577,-46.13221353,44.90345757,6.77,3.508601085,F8/G0V      ,0.577
13868,19785,26719, , ,,,4.24067333,23.69645378,403.2258065,6.77,-1.257741596,K0          ,1.133
14368,20446,29598,1485,,          , ,4.38085624,-82.899089,99.50248756,6.77,1.780830309,A7IV/V      ,0.209
14765,20963,28475,1420,,          , ,4.49523771,10.52185458,212.3142251,6.77,0.135104536,B5V         ,0.086
15408,21843,30042, , ,,,4.69615144,-47.26002393,69.25207756,6.77,2.567835966,G8III+...   ,0.745
15704,22245,30365, , ,,,4.78830967,5.7882641,196.8503937,6.77,0.299318561,A0          ,0.018
15730,22279,30136, , ,,,4.79708929,53.30127712,122.8501229,6.77,1.323122024,F2          ,0.452
17681,24967,34888, , ,,,5.34784645,2.92881386,110.7419712,6.77,1.548438752,A5          ,0.256
18357,25893,36320, , ,,,5.52755141,18.24420389,416.6666667,6.77,-1.328943791,K5          ,1.592
18960,26661,42556, , ,,,5.6664793,-85.91434283,136.425648,6.77,1.095519873,G8III       ,0.94
19179,26940,36971, , ,,,5.71687547,73.9857686,155.0387597,6.77,0.817798573,F0          ,0.329
19514,27378,38584, , ,,,5.79892617,24.68684846,617.2839506,6.77,-2.182424927,K2          ,1.53
20027,28047,40100, , ,,,5.93135108,-21.6891864,90.66183137,6.77,1.982877562,G3IV/V      ,0.734
20250,28353,40491, , ,,,5.99102876,8.41550814,280.8988764,6.77,-0.47275001,K0          ,0.947
20652,28881,41161, , ,,,6.09790504,48.24928669,4761.904762,6.77,-6.618903526,O8V         ,-0.102
21196,29541,42617, , ,,,6.22513745,37.15913399,471.6981132,6.77,-1.598320695,A0          ,0.001
21206,29555,43598, , ,,,6.2279018,-56.91832291,164.2036125,6.77,0.693086463,K1/K2III    ,1.161
21624,30058,42937, , ,,,6.32662109,69.56917215,119.3317422,6.77,1.386220093,A5          ,0.264
23805,32793,49739, , ,,,6.83676436,5.67350105,100.6036217,6.77,1.756931922,A5          ,0.321
24586,33810,52309, , ,,,7.01940378,11.7746371,285.7142857,6.77,-0.509659778,A2          ,0.107
24701,33961,53013, , ,,,7.0470452,-16.6993667,151.2859304,6.77,0.871007297,K1III       ,1.147
25279,34706,56478, , ,,,7.18804084,-70.11966254,163.6661211,6.77,0.700206051,K0III       ,1.005
25737,35288,56977, , ,,,7.29072658,-38.91344148,188.6792453,6.77,0.391379348,K2/K3III    ,1.352
26321,36056,57950, , ,,,7.43110213,48.54783287,191.5708812,6.77,0.358352515,B9          ,-0.047
26865,36780,60555, , ,,,7.56455115,-28.56774711,134.0482574,6.77,1.133694137,A6:V+...    ,0.308
26935,36863,60906, , ,,,7.57881681,-44.6920536,357.1428571,6.77,-0.994209843,K4III       ,1.554
28027,38231,63432, , ,,,7.83250613,28.19878472,265.2519894,6.77,-0.348293249,A2          ,0.089
28428,38770,65425, , ,,,7.93654239,-51.33844426,448.4304933,6.77,-1.488475685,G5II/III    ,0.97
29254,39827, , , ,,,8.137314,-61.07751451,114.1552511,6.77,1.482520531, ,0.649
30018,40822,70136, , ,,,8.33164664,-12.85695625,247.5247525,6.77,-0.198093174,K2III       ,1.39
31418,42600,73819, , ,,,8.68231103,19.58036383,183.1501832,6.77,0.455963214,A6Vn        ,0.169
31707,42970,74607, , ,,,8.75823564,18.81748568,62.69592476,6.77,2.783803437,F2          ,0.39
31722,42989,75152, , ,,,8.76220857,-55.85500254,83.26394671,6.77,2.167715037,A8III:m     ,0.299
32985,44607,77570, , ,,,9.08856895,50.82395685,51.51983514,6.77,3.210127677,F2          ,0.411
33195,44874,78643,,Wo 9287 A,, ,9.1435625,-25.8394391,44.64285714,6.77,3.521240092,G0/G1V      ,0.573
33742,45595,79929, , ,,,9.29330179,27.42219486,56.27462015,6.77,3.018437139,F6V         ,0.409
